frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
105,640,74,,,628,64,,,592,75,601,146,599,156,,,631,267,,,655,348,622,317,617,324,639,452,623,465,632.0,584.0,619.0,607.0
106,640,74,,,627,63,,,592,75,601,146,600,156,,,632,267,,,655,348,622,317,617,324,639,453,623,466,632.0,584.0,619.0,607.0
107,641,74,,,628,64,,,591,75,604,146,600,155,,,632,264,,,657,349,623,317,617,324,639,452,625,464,631.0,584.0,616.0,611.0
108,640,74,,,627,64,,,592,75,600,146,600,156,,,632,266,,,655,349,622,317,617,324,639,452,624,466,632.0,583.0,619.0,607.0
109,640,74,,,627,64,,,591,75,602,146,601,155,,,632,264,,,657,350,622,317,617,324,638,452,625,464,631.0,584.0,617.0,611.0
110,641,73,,,627,64,,,591,75,603,146,601,155,,,632,265,,,657,350,622,317,617,324,639,453,625,465,631.0,585.0,617.0,611.0
111,640,74,,,627,63,,,592,75,601,146,600,156,,,632,267,,,655,349,623,317,617,324,641,454,625,467,631.0,586.0,619.0,609.0
112,640,73,,,627,64,,,591,75,603,146,600,155,,,632,264,,,657,350,623,317,617,324,639,453,625,465,631.0,585.0,617.0,612.0
113,640,74,,,627,64,,,591,75,603,146,600,155,,,632,264,,,657,350,623,317,617,324,640,453,626,465,630.0,585.0,616.0,612.0
114,640,73,,,627,64,,,591,75,603,145,600,154,,,632,264,,,657,350,623,317,617,324,640,453,626,465,631.0,586.0,617.0,612.0
115,640,74,,,627,63,,,592,75,602,146,599,156,,,632,266,,,655,349,623,317,617,325,642,454,625,467,631.0,586.0,619.0,609.0
116,640,73,,,627,64,,,591,75,604,146,599,155,,,632,264,,,657,351,624,318,617,324,641,453,626,465,631.0,585.0,616.0,611.0
117,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,318,617,324,641,453,626,465,631.0,585.0,616.0,611.0
118,640,73,,,627,63,,,591,75,603,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,626,464,631.0,585.0,616.0,611.0
119,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,626,464,631.0,585.0,616.0,611.0
120,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,350,623,317,617,324,641,453,626,465,631.0,585.0,616.0,611.0
121,640,73,,,627,63,,,591,75,604,146,600,155,,,632,265,,,657,351,623,317,617,324,641,453,626,464,631.0,585.0,616.0,611.0
