frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
100,0,"tensor([ 30.1962, 238.2213])","tensor([ 38.0098, 227.8394])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,"tensor([ 35.8112, 223.8678])","tensor([ 44.9822, 212.9923])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,"tensor([ 43.5725, 208.4936])","tensor([ 53.1378, 197.4039])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,"tensor([ 51.7771, 193.6115])","tensor([ 62.0874, 182.7431])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,"tensor([ 60.8577, 178.2969])","tensor([ 71.4103, 167.4328])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,"tensor([ 68.1798, 163.8368])","tensor([ 79.5415, 153.6685])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,"tensor([ 81.0721, 149.4405])","tensor([ 90.4130, 138.9137])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,"tensor([ 87.6282, 141.3217])","tensor([ 97.2635, 130.5080])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,"tensor([100.7838, 132.8980])","tensor([110.9196, 121.5924])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,"tensor([111.0802, 127.1477])","tensor([122.3884, 115.7286])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,"tensor([119.6714, 125.3923])","tensor([131.3428, 114.1876])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,"tensor([126.3772, 122.7717])","tensor([138.0464, 112.1176])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,"tensor([133.5576, 121.3237])","tensor([145.6564, 110.6712])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
